id,first_name,last_name,dob,email,weight
1,Mannix,Kennedy,1990-02-03,mannix@chasers.com,84
2,Kirk,Orr,1996-07-27,kirk4684@chasers.com,182
3,Abel,Jimenez,1998-09-17,abel@chasers.com,83
4,Damian,Carver,1991-06-05,damian9205@chasers.com,86
5,Graham,Ross,1997-03-05,graham@chasers.com,90
6,Seth,Roy,,,83
7,Christopher,Castaneda,1998-03-11,,176
8,Brendan,Martin,1994-10-20,brendan@chasers.com,89
9,Oscar,Carey,1988-06-14,oscar@chasers.com,82
10,Gary,Hunt,1995-08-14,gary1765@chasers.com,200
11,Ross Whitehead,"",1989-10-18,ross@chasers.com,
12,Ronan,Duran,1994-04-04,ronan3466@chasers.com,85
13,Julian,Bean,1991-07-17,,94
14,Connor,McCarty,1995-07-27,connor@chasers.com,85
15,Ryan,Hardy,1988-05-21,ryan6102@chasers.com,88
